Title,Developer(s)
Landstalker: The Treasures of King Nole,Climax Entertainment
Langrisser II,Team Career
Last Action Hero,Bits Corporation
Last Battle Hokuto no Ken: Shin Seikimatsu Kyūseishu DensetsuJP,Sega
The Lawnmower Man,SCi Atod AB Teque London
The Legend of Galahad GalahadNA,Traveller's Tales Krisalis Software
Lemmings,Sunsoft
Lemmings 2: The Tribes,Digital Developments Krisalis Software
Lethal Enforcers,Konami
Lethal Enforcers II: Gun Fighters,Konami
LHX Attack Chopper,Electronic Arts
Liberty or Death,Koei
Light Crusader,Treasure
The Lion King,Westwood Studios
Lord Monarch,Nihon Falcom Sega
The Lost Vikings,Silicon & Synapse Krisalis Software
The Lost World: Jurassic Park,Appaloosa Interactive
Lotus Turbo Challenge,Gremlin Graphics
Lotus II: R.E.C.S.,Gremlin Graphics
M-1 Abrams Battle Tank,Dynamix
Madden NFL '94 NFL Pro Football '94JP,High Score Productions
Madden NFL '95,High Score Productions
Madden NFL '96,High Score Productions
Madden NFL 97,High Score Productions
Madden NFL 98,High Score Productions
Madō Monogatari I,Compile
"Magic School Bus, (Scholastic's) The: Space Exploration Game",Music Pen
Magical Taruruto-kun,Game Freak
Mahjong Cop Ryū: Shiro Ookami no Yabou,Whiteboard
Mamono Hunter Yōko: Dai 7 no Keishō,Klon
Marble Madness,Electronic Arts
Marble Madness,Tengen
Mario Andretti Racing,High Score Productions
Mario Lemieux Hockey,Ringler Studios
Marko's Magic Football MarkoNA,The Cartoon Mavericks
Marsupilami,Marsu
Marvel Land Talmit's AdventurePAL,Namco
Mary Shelley's Frankenstein,Bits Corporation
Master of Monsters,SystemSoft ISCO Opera House
Master of Weapon,KID
Maten no Sōmetsu,Geo Factory
Math Blaster: Episode 1,Davidson & Associates
Mazin Saga: Mutant Fighter Mazin WarsPAL,"Almanic Corporation ALU Team ""Saga"""
McDonald's Treasure Land Adventure,Treasure
Mega Bomberman,Westone
Mega-Lo-Mania Tyrants: Fight Through TimeNA,Sensible Software
Mega Man: The Wily Wars,Minakuchi Engineering
Megapanel,Namco
Mega SWIV,The Sales Curve
