Title,Developer(s)
Fire Emblem: Genealogy of the Holy War,Intelligent Systems
Fire Emblem: Thracia 776 [b],Intelligent Systems
Fire Pro Joshi: All Star Dream Slam,
The Firemen [a],Human Entertainment
Firestriker •Holy StrikerJP,Axes Art Amuse
First Queen,
First Samurai,Kemco
Fishing Koushien,A-Wave
Flashback •Flashback: The Quest for IdentityNA,Delphine Software International
The Flintstones,Ocean Software
The Flintstones: The Treasure of Sierra Madrock,TaitoSol Corporation
Flying Hero: Bugyuru no Daibouken,Sting Entertainment
Football Fury •Ultimate FootballJP,American Sammy
Foreman For Real,Software Creations
Fortune Quest: Dice wo Korogase,"Natsume Co., Ltd."
Frank Thomas' Big Hurt Baseball Big Hurt BaseballJP,Iguana Entertainment
Frantic Flea,Haus Teknikka
Frogger,Morning Star Multimedia
From TV Animation Slam Dunk: SD Heat Up!!,Tose
From TV Animation Slam Dunk 2: IH Yosen Kanzenhan!!,Tose
From TV Animation Slam Dunk: Yonkyo Taiketsu!!,Tose
Front Mission,G-Craft
Front Mission Series: Gun Hazard,Omiya Soft
Full Throttle: All-American Racing •Full PowerJP,Gremlin Interactive
Fun 'n Games,Leland Interactive Media
Funaki Masakatsu no Hybrid Wrestler: Tōgi Denshō,
Fune Tarou,
Furuta Atsuya no Simulation Pro Yakyuu 2,Hect
Fushigi no Dungeon 2: Furai no Shiren [b],Chunsoft
G-O-D: Mezame yoto Yobu Koe ga Kikoe,Infinity
Gaia Saver,Arc System Works
Gakkou de atta Kowai Hanashi,Pandora Box
Galaxy Robo,Copya Systems
Galaxy Wars,C-Lab
Gambler Jikochuushinha: Mahjong Kouisen,Bits Laboratory
Gambler Jikochuushinha 2: Dorapon Quest [a],Bits Laboratory
Gambling Hourouki,
Game no Tatsujin,Affect
Game no Tetsujin: The Shanghai,
Gamera: Gyaosu Gekimetsu Sakusen,Axes Art Amuse
Gan Gan Ganchan,Team Mental Care
Ganbare Daiku no Gensan,Irem
Ganbare Goemon 2: Kiteretsu Shougun McGuiness [ja],Konami
Ganbare Goemon 3: Shishi Juurokubee no Karakuri Manjigatame [ja],Konami
Ganbare Goemon Kirakira Dōchū: Boku ga Dancer ni Natta Wake,Konami
Ganso Pachi-Slot Nippon'ichi,
Ganso Pachinko Ou,
Garry Kitchen's Super Battletank: War in the Gulf •Super BattletankEU,Imagineering
Gdleen,Jorudan
Gegege no Kitarou: Fukkatsu! Tenma Daiou •Kitarou's AdventureNA,BEC
Gekitotsu Dangan Jidōsha Kessen: Battle Mobile,System Sacom
Gekitou Burning Pro Wrestling,Ukiyotei
Gemfire •Super Royal BloodJP,Koei
Genghis Khan II: Clan of the Gray Wolf •Super Aoki Ookami to Shiroki Meshika: Genchou HishiJP,Koei
Genjuu Ryodan [d],Crea-Tech
Genocide 2,Bits Studios
George Foreman's KO Boxing,Beam Software
Getsumen no Anubis,Access
Ghost Chaser Densei,Winkysoft
